nombre_original,nombre_generado,fecha_detectada,proveedor_detectado,numero_detectado,estado
01.03.2025_SECUR_B25-2458.pdf,20250301_SECUR_ALARMAS__VIDEOVIGILANCIA__INCENDIOS_B25 - 2458.pdf,20250301,SECUR_ALARMAS__VIDEOVIGILANCIA__INCENDIOS,B25 / 2458,OK
01.04.2025_LUBRICANTES DELGADO_A26670.pdf,20250401_LUBRICANTES_DELGADO_SL_A 26670.pdf,20250401,LUBRICANTES_DELGADO_SL,A 26670,OK
02.06.2025_LUBRICANTES DELGADO_A27163.pdf,20250602_LUBRICANTES_Olipes_DELGADO_SL_A 27163.pdf,20250602,LUBRICANTES_Olipes_DELGADO_SL,A 27163,OK
03.06.2025_SAMOIL TECHS_PS202500132.pdf,20250603_SAMOIL_Techs_sl_PS-2025-00132.pdf,20250603,SAMOIL_Techs_sl,PS/2025/00132,OK
08.05.2025_INSTALACIONES ROBERTO MOREN_FE25-12.pdf,20250508_R_12.pdf,20250508,R,12,OK
09.04.2025_HAFESA ENERGIA_MIN25-9737.pdf,20250409_HAFESA_MIN25-9737.pdf,20250409,HAFESA,MIN25/9737,OK
09.05.2025_CARBOSUR 1925_000565.pdf,20250509_CarboSür_Biomasa_sucesores_de_carbones_San_Antonio_000565.pdf,20250509,CarboSür_Biomasa_sucesores_de_carbones_San_Antonio,000565,OK
09.05.2025_HAFESA ENERGIA_MIN25-13338.pdf,20250509_HAFESA_MIN25-13338.pdf,20250509,HAFESA,MIN25/13338,OK
09.05.2025_TECSENS_INV-2025-0812.pdf,20250509_Tecsens_sense__TeCHnoLOGy_INV-2025-0812.pdf,20250509,Tecsens_sense__TeCHnoLOGy,INV/2025/0812,OK
09.06.2025_Q-SAFETY_QS007322.pdf,20250609_Q-safety_quironprevencion_QS-007322_25.pdf,20250609,Q-safety_quironprevencion,QS/007322_25,OK
10.02.2025_CEPSA_6502952026.PDF,20250210_CEPSA_6502952026.pdf,20250210,CEPSA,6502952026,OK
10.02.2025_SAMOIL TECHS_A-2025-00231.pdf,20250210_TECHS_SL_A-2025-00231.pdf,20250210,TECHS_SL,A/2025/00231,OK
10.03.2025_CEPSA_6502993283.PDF,20250310_CEPSA_6502993283.pdf,20250310,CEPSA,6502993283,OK
10.03.2025_HATTA ENERGY_2528024.PDF,20250310_HATTA_energy_2528024.pdf,20250310,HATTA_energy,2528024,OK
10.04.2025_CEPSA_6503047835.pdf,20250410_CEPSA_6503047835.pdf,20250410,CEPSA,6503047835,OK
11.03.2025_CARBOSUR 1925_000271.pdf,20250311_Carbo_Sür_Biomasa_sucesores_de_carbones_San_Antoni_000271.pdf,20250311,Carbo_Sür_Biomasa_sucesores_de_carbones_San_Antoni,000271,OK
11.03.2025_CARBOSUR 1925_0002711.pdf,20250311_Carbo_Sür_Biomasa_sucesores_de_carbones_San_Antoni_000271.pdf,20250311,Carbo_Sür_Biomasa_sucesores_de_carbones_San_Antoni,000271,OK
12.05.2025_DETUGRA MULTISERVICIOS_1008.pdf,20250512_DETUGRA_1008.pdf,20250512,DETUGRA,1008,OK
14.02.2025_INTERCLYM_11.643.pdf,20250214_interclym_maquinaria_y_útiles_de_limpieza_11.643.pdf,20250214,interclym_maquinaria_y_útiles_de_limpieza,11.643,OK
14.05.2025_LUBRICANTES DELGADO_A26987.pdf,20250514_LUBRICANTES_Olipes_DELGADO_SL_MULTIMARCA_A 26987.pdf,20250514,LUBRICANTES_Olipes_DELGADO_SL_MULTIMARCA,A 26987,OK
15.04.2025_HAFESA ENERGIA_MIN25-10490.pdf,20250415_HAFESA_MIN25-10490.pdf,20250415,HAFESA,MIN25/10490,OK
16.04.2025_ALETTEO_2025000093.pdf,20250416_aletteo_2025000093.pdf,20250416,aletteo,2025000093,OK
16.05.2025_HAFESA ENERGIA_MIN25-14322.pdf,20250516_HAFESA_MIN25-14322.pdf,20250516,HAFESA,MIN25/14322,OK
